Timestamp,What is your profession? ,Please indicate your gender,BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",How many people in Kerala do you financially support with your income?,How important is it for you to send money back to Kerala?, I send money to Kerala:,When the exchange rate is high (1 AED yields more INR):, I send money home:,"BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic (from March 1st to August 31st, 2020)?","BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic(from March 1st to August 31st, 2020)?","CEREALS & PULSES (Cereals and Pulses are items like Rice, Wheat, Bread, Maida, Rava, Dal varieties, et cetera) ","ANIMAL PROTEIN (Animal Protein is items like Chicken, Duck, Mutton, Beef, Fish, Eggs, etc) ","DAIRY PRODUCTS (Dairy Products are items like Milk, Yoghurt, Laban, Cheese, Labneh, Paneer, etc) ",Fruits and Vegetables,"PREPARED MEALS (Prepared Meals are items like Cup noodles, Heat & eat items like packaged curries, Maggi, Frozen chapati/paratha, Khubhus, Readymade idli/ appam batter, Restaurant take away/dine in, etc)  ","SWEETS AND SNACKS (Sweets and Snacks are items like Bakery items, Ice-cream, Chocolates, etc) ","PERSONAL CARE AND EFFECTS (Personal Care and Effects are items like Clothing, Footwear, Ornaments, Soap, Visiting Barber/beautician, etc) ","HOUSING RELATED EXPENDITURES (Housing Related expenditures are expenses like Housing Rent, Electricity Bill, Water Bill, etc)","HEALTHCARE (Healthcare includes expenses like Medicine fees, Doctor’s fees, Purchasing of medical equipment, Homeo medicines, etc)","TRANSPORTATION EXPENSES (Transportation expenses include expenses like Bus fare, Taxi fare, Petrol/Diesel costs, airplane fare, etc)","COMMUNICATION EXPENSES (Communication Expenses include expenses like Phone bills, Postage expenses, Internet expenses, etc)","RECREATION AND AMUSEMENT (Recreation and Amusement includes expenses like Cable connection fees, Newspapers, Playing Cards, carrom boards, etc)","HOUSEHOLD GOODS AND SERVICES (Household Goods and Services include items like Furniture, Bedding, Appliances like TV, Fridge, Washing machine, Stove, et cetera)"
8/7/2021 9:32:26,Office boy,Male,"2,500-5,000 AED","2,500-5,000 AED",None,None,0,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,In small amounts frequently,Yes,Yes,5000,500,No change,No change,No change,Highly increased (by more than 50 AED),No change,No change,No change,No change,No change,No change,No change,No change,No change
8/7/2021 9:35:58,Manager,Female,"5,001-10,000 AED","2,500-5,000 AED",Housing,Housing,3,Unimportant (Family can support basic necessities even without my remittance),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,30,10,30,10,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),Highly decreased (by more than 100 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/7/2021 9:45:57,Driver,Male,"0-2,500 AED","0-2,500 AED",Healthcare,Healthcare,More than10,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,10,5,10,5,No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/7/2021 9:58:54,Fashion designer ,Female,"15,001-20,000 AED","5,001-10,000 AED","Communication (phone bills, Internet connection, etc)",Accommodation ,5,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,10 %,5 %,10%,5%,Highly increased (by more than 50 AED),No change,Slightly decreased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,No change,Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -100 AED),No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change
8/7/2021 9:59:09,It support ,Male,"2,500-5,000 AED","2,500-5,000 AED",Healthcare,Food,10,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,In small amounts frequently,50 percentage ,20 percentage ,50,50,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change
8/7/2021 10:03:44,Student,Male,"0-2,500 AED","0-2,500 AED",None,None,Nothing,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,Nothing,Nothing,Nothing,Nothing,Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/7/2021 10:28:46,Supervisor,Male,"2,500-5,000 AED","2,500-5,000 AED",Housing,Housing,0,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,30,20,30,20,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,Slightly Increased (by 1 -100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change
8/7/2021 10:54:23,Teacher,Female,"2,500-5,000 AED","0-2,500 AED",Housing,Housing,5,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,20,5,20%,5%,Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),Highly decreased (by more than 100 AED),No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 500 AED)
8/7/2021 11:02:27,Radiologist ,Female,"0-2,500 AED","2,500-5,000 AED","Food, Housing","Food, Housing, Healthcare",1,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to Kerala,In small amounts frequently,90,50,50%,30,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change,No change,No change,No change,No change
8/7/2021 11:16:10,Sales,Male,"0-2,500 AED","0-2,500 AED","Food, Healthcare",Food,3,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,When requested by family in Kerala,5,5,5,5,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/7/2021 11:45:00,HR,Female,"2,500-5,000 AED","0-2,500 AED","Communication (phone bills, Internet connection, etc), None",None,5,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,Once a month,50%,30%,50%,20%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED)
8/7/2021 12:07:19,Teacher,Female,"5,001-10,000 AED","0-2,500 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",Healthcare,4,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,50 %,5%,50 %,5 %,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/7/2021 12:48:10,Accountant,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Housing, Utilities (any one or more of electricity, water ), Healthcare, Communication (phone bills, Internet connection, etc)",25,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to Kerala does not change,Once a month,25,20,50,45,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
8/7/2021 12:53:51,Home care giver,Female,"2,500-5,000 AED","0-2,500 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",None,5,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,75 %,10 %,75%,10%,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/7/2021 12:56:27,Beautician ,Female,"5,001-10,000 AED","2,500-5,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc)",Healthcare,4,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,80%,20%,80%,20%,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/7/2021 13:03:29,HR Cordinator,Female,"5,001-10,000 AED","5,001-10,000 AED","Healthcare, Transportation (Bus pass, fuel, etc)","Healthcare, Transportation (Bus pass, fuel, etc)",One,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to Kerala,Once a month,50,50,50,50,No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),No change,Highly decreased (by more than 500 AED)
8/7/2021 13:04:56,Driver ,Male,"2,500-5,000 AED","2,500-5,000 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,75%,75%,75%,75%,No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change
8/7/2021 14:15:38,Teacher,Female,"2,500-5,000 AED","0-2,500 AED","Healthcare, Transportation (Bus pass, fuel, etc)",None,4,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,1000,0,2000,0,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,No change,No change,No change
8/7/2021 14:23:07,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED",Food,Food,25000,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,20000,20000,50,50,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/7/2021 14:55:52,Technician,Male,"0-2,500 AED","0-2,500 AED",None,None,1,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,Nothing,Nothing,90,90,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/7/2021 15:04:39,Electronics,Male,"0-2,500 AED","0-2,500 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare",4,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,50,50,30,30,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
8/7/2021 15:56:01,HR Manager,Female,"2,500-5,000 AED","2,500-5,000 AED",None,None,5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,15%,0,80%,80%,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,No change,No change,Highly decreased (by more than 500 AED)
8/7/2021 19:24:25,Engineer ,Male,"10,001-15,000 AED","10,001-15,000 AED",None,None,0,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,In bulk amounts infrequently,20,25,10,15,No change,No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change
8/7/2021 21:00:04,HR and Admin Officer,Female,"5,001-10,000 AED","5,001-10,000 AED","Housing, Transportation (Bus pass, fuel, etc)","Housing, Transportation (Bus pass, fuel, etc)",2,Important (Family has some income but depends on my remittance to pull through),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to Kerala does not change,Once a month,20%,20%,20%,20%,No change,No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -100 AED),No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
8/8/2021 7:17:47,Driver ,Male,"2,500-5,000 AED","0-2,500 AED",Healthcare,Healthcare,3,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to Kerala does not change,Once a month,0,0,100,100,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/8/2021 8:09:04,Baqala boy ,Male,"0-2,500 AED","0-2,500 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare",Healthcare,7,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,75%,20%,75%,20%,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/8/2021 8:16:07,Salesman ,Male,"2,500-5,000 AED","0-2,500 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)","Healthcare, Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,Once a month,50 %,10 %,50%,10%,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/8/2021 8:18:33,Lab technician ,Male,"2,500-5,000 AED","2,500-5,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare","Housing, Utilities (any one or more of electricity, water ), Healthcare",6,Very Important (Family is totally dependent on my remittances),Both,The amount I send to Kerala does not change,Once a month,75%,50%,75%,50%,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/8/2021 9:46:42,Job,Male,"0-2,500 AED","0-2,500 AED",Food,Food,0,Very Important (Family is totally dependent on my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send less money to Kerala,Once a month,0,0,1,1,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
8/8/2021 20:06:58,Delivery,Male,"20,001-25,000 AED","15,001-20,000 AED","Transportation (Bus pass, fuel, etc)","Transportation (Bus pass, fuel, etc)",2,Unimportant (Family can support basic necessities even without my remittance),Both,I send less money to Kerala,When requested by family in Kerala,Don't know,Don't know,Don't know,Don't know,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/8/2021 20:58:21,Assistant nursery teacher,Female,"2,500-5,000 AED","0-2,500 AED","Healthcare, Transportation (Bus pass, fuel, etc)",Healthcare,5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,75%,20%,75%,20%,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED)
8/8/2021 23:29:24,Tebin siby,Male,"5,001-10,000 AED","2,500-5,000 AED",Housing,"Utilities (any one or more of electricity, water )",Only my family,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send less money to Kerala,Once a month,80%,40%,11500,6500,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
8/9/2021 9:17:12,Driver,Male,"10,001-15,000 AED","15,001-20,000 AED",Food,Food,4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,Once a month,60,50,60%,50%,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
8/10/2021 14:17:58,Bus nanny,Female,"2,500-5,000 AED","0-2,500 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc)",None,5,Very Important (Family is totally dependent on my remittances),Both,I send more money to Kerala,When requested by family in Kerala,2000,Nothing,50,Nothing,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
8/10/2021 16:51:31,Technician,Male,"0-2,500 AED","0-2,500 AED","Housing, Utilities (any one or more of electricity, water ), Transportation (Bus pass, fuel, etc)","Housing, Utilities (any one or more of electricity, water ), Transportation (Bus pass, fuel, etc)",4,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to Kerala,When requested by family in Kerala,Nothing,Nothing,1,1,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
